region,incgroup,offshore,country,cntrycode,bankname 2013,bankname 2009,spec,index_consol,cons_code,index_unconsol,unconsol_code,ISIN,Ticker,Swift,yoe,yoi,note_2009,note_2013,added2014,active2013,own1995,own1996,own1997,own1998,own1999,own2000,own2001,own2002,own2003,own2004,own2005,own2006,own2007,own2008,own2009,own2010,own2011,own2012,own2013,ownsou1995,ownsou1996,ownsou1997,ownsou1998,ownsou1999,ownsou2000,ownsou2001,ownsou2002,ownsou2003,ownsou2004,ownsou2005,ownsou2006,ownsou2007,ownsou2008,ownsou2009,ownsou2010,ownsou2011,ownsou2012,ownsou2013
OECD,OECD,0,ITALY,ITA,Veneto Banca scpa,Veneto Banca Holding scpa,Cooperative Bank,20317,C2,11349,U2,,Unlisted,,1877,,"Established 1877 as Banca Popolare di Montebelluna. In 1966, its name changed to Banca Popolare di Asolo e Montebelluna Scparl. In November 1999, was renamed Veneto Banca. Effective from January 1, 2008, following the reorganisation of Veneto Banca Group, Veneto Banca scpa became Veneto Banca Holding scpa. The banking business of the previous Veneto Banca scpa has been spunf off in a newly created bank, Veneto Banca SpA (bs id: 41472, Asset series for this bank is weird). This bank is not included in database to avoid double counting. ","Changed name to VENETO BANCA S.C.P.A. on January 31, 2011.",0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
LAC,EM,0,JAMAICA,JAM,Bank of Nova Scotia Jamaica Ltd. (The),Bank of Nova Scotia Jamaica Ltd. (The),Commercial Banks,33309,C2,43543,U2,JMP1574F1033,Delisted,NOSC JM KN,1967,,"Established on January 16, 1967.",,0,Active,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA
LAC,EM,0,JAMAICA,JAM,JMMB Merchant Bank Limited,Capital & Credit Merchant Bank Ltd,Commercial Banks,46433,C2,19059,U2,JMP2008G1051,CCMB,,1994,,,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
LAC,EM,0,JAMAICA,JAM,First Global Bank Limited,First Global Bank Limited,Commercial Banks,44801,U1,44801,U1,,Unlisted,,1970,,"Established on December 30, 1970. In December 2001, Trafalgar Commercial Bank Limited changed its name to First Global Bank Limited.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
LAC,EM,0,JAMAICA,JAM,FirstCaribbean International Bank (Jamaica) Limited,FirstCaribbean International Bank (Jamaica) Limited,Commercial Banks,33307,C2,46127,U2,JMP4161U1037,FCIBJ,FCIB JM KN,1920,,"Established in 1920. On October 14, 2002, CIBC Jamaica Limited changed its name to FirstCaribbean International Bank (Jamaica) Limited.",,0,Active,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA
LAC,EM,0,JAMAICA,JAM,FirstCaribbean International Securities Limited,FirstCaribbean International Securities Limited,Commercial Banks,49636,U1,49636,U1,,Unlisted,FCIB JM 21,1960,,"Established in 1960. In 1988, The Canadian Bank of Commerce Trust Company (Caribbean) Limited changed its name to CIBC Trust Jamaica Limited. In November 1991. to CIBC Trust & Merchant Bank Jamaica Ltd. In October 2002, changed its name to FirstCaribbean International Trust & Merchant Bank (Jamaica) Ltd. In July 2003, name changed to FirstCaribbean International Securities Limited.",,0,Active,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA
LAC,EM,0,JAMAICA,JAM,Manufacturers Sigma Merchant Bank,Manufacturers Sigma Merchant Bank,Commercial Banks,46373,C2,46372,U2,,Unlisted,,1500,2004,"On June 1, 2004, was absorbed by Pan Carribean Merchant Bank.",,0,Dissolved,0,0,0,0,0,0,0,0,0,,,,,,,,,,,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,,,,,,,,,,
LAC,EM,0,JAMAICA,JAM,National Commercial Bank Jamaica Limited,National Commercial Bank Jamaica Limited,Commercial Banks,32207,C2,43632,U2,JMP710541039,NCBJ,JNCB JM KX,1837,,"Established in 1837 as Colonial Bank a subsidiary of  Colonial Bank of London.  in 1925 Colonial Bank along with two other banks were acquired by Barclays Bank of London. In 1977, its name changed to National Commercial Bank Jamaica Limited when the government of Jamaica acquired all the shares . On October 1, 1996 absorbed Mutual Security Bank Ltd. In 2002 AIC Limited (a Canadian mutual fund company) acquired approximately 75% of the shareholding.",,0,Active,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,DOM,DOM,DOM,DOM,DOM,DOM,DOM,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA
LAC,EM,0,JAMAICA,JAM,NCB Group Ltd,NCB Group Ltd,Bank Holding & Holding Companies,34206,C2,34207,U2,,Delisted,,1985,2001,,,0,Dissolved,0,0,0,0,0,0,,,,,,,,,,,,,,DOM,DOM,DOM,DOM,DOM,DOM,,,,,,,,,,,,,
LAC,EM,0,JAMAICA,JAM,RBC Royal Bank (Jamaica) Limited,RBTT Bank Jamaica Limited,Commercial Banks,31061,C2,16959,U2,,Delisted,,1967,,"Established in 1967. In 1998, Citizens Bank Limited absorbed Horizon Merchant Bank Limited. In 1999, absorbed Workers Savings and Loan Bank and Eagle Merchant Bank of Jamaica Ltd. and changed its name to Union Bank of Jamaica Ltd. In November 2001, changed its name to RBTT Bank Jamaica Limited.",,0,Active,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,DOM,DOM,DOM,DOM,DOM,DOM,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA
